"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","WESD","WESD_ATTRIBUTES"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-01","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-02","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-03","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-04","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-05","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-06","0.3",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-07","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-08","0.0","T,,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-09","0.0","T,,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-10","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-11","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-12","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-13","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-14","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-15","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-16","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-17","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-18","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-19","12.7",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-20",,
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-21",,
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-22",,
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-23",,
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-24",,
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-25",,
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-26","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-27","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-28","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-29","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-30","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-01-31","0.0",",,N"
"US1NYWC0018","ARMONK 0.3 SE, NY US","41.12996","-73.708161","117.3","2020-02-01","0.0",",,N"
